Horouta Waka Hoe Club Inc.: 371 Points
Cook Islands Outriggers Associa: 176 Points
Ruamata Waka Ama Club: 158 Points
Manukau Outrigger Canoe Club: 114 Points
Otaki Waka Hoe Charitable Trust: 111 Points
Taniwha Outrigger Canoe Club In: 106 Points
Parihaka Waka Ama Inc: 101 Points
Hei Matau Paddlers: 99 Points
Akarana: 82 Points
Waitakere Outrigger Canoe Club: 81 Points
Nga Hoe Horo Outrigger Canoe Cl: 80 Points
Te Au Rere Waka Ama Club: 78 Points
Kaihoe o Ngati Rehia Trust: 78 Points
Mareikura Waka Ama Club Incorpo: 74 Points
Rahui Pokeka Waka Sports: 74 Points
Te Toki Voyaging Trust: 74 Points
Turangawaewae Waka Sports: 60 Points
Tarawera Outrigger Canoe Club: 58 Points
Te Puku O Te Ika: 48 Points
Porirua Canoe Kayak Club Inc.: 44 Points
Haeata Ocean Sports Inc: 41 Points
Te Awa Haku: 39 Points
Hawaiki Nui Tuarua Waka Ama: 39 Points
Tamaki Outrigger Canoe Club: 32 Points
Heretaunga Ararau O Ngati Kahun: 31 Points
Waikato Dragon Boat & Waka Ama: 31 Points
Mitamitaga o le Pasefika Va'a-a: 29 Points
TOA Waka Ama Club: 25 Points
Auckland Region Outrigger Canoe: 24 Points
Tai Tokerau Polynesian Canoe As: 24 Points
Tauranga Moana Outrigger Canoe: 24 Points
Te Uranga O Te Ra: 21 Points
Wairarapa Waka Ama Canoe Club: 19 Points
Te Rau Oranga O Ngati Kahungunu: 18 Points
Hoe Aroha Whanau o Mauao: 15 Points
Whaingaroa Whanau Hoe Waka: 13 Points
Waka Ama O Whakatane: 13 Points
Tahiti Region: 11 Points
Uawa Tiaki Tai - Hinekura Waka: 11 Points
Whanganui River Outrigger Canoe: 10 Points
Aratika Water Sports Club: 9 Points
Whakatu Marae Waka-Ama Club: 9 Points
Ocean Blue Sports Club: 9 Points
Tui Tonga Canoe Club: 9 Points
Te Waka o Aoraki: 9 Points
Portage Crossing: 8 Points
Hoe Tonga Pacifica Waka Ama Ass: 8 Points
Waitaha Paddling Club Inc: 6 Points
Te Pou Herenga Waka Ama Club In: 6 Points
Pakuranga Outrigger Canoe Club: 6 Points
Maketu Hoe Waka: 6 Points
Tirohanga Waka Ama: 5 Points
Waiheke Waka Ama Club: 5 Points
Norfolk Island: 4 Points
Tu Tangi Ora - South Kaipara Co: 4 Points
Nga Tai Whakarongo: 3 Points
Hikoikoi Waka Club: 2 Points
Te Paerangi Waka Ama Inc: 2 Points
Hauraki Sports Club: 2 Points
Te Puu Ao: 2 Points
Te Ringa Miti Tai Heke Whanganu: 1 Points
